Ido,IPA,Novial
A  a,/a/,A  a
B  b,/b/,B  b
C  c,/ts/,TS  ts
CH  ch;,/t?/,CH  ch
D  d,/d/,D  d
E  e,/e/ or /?/,E  e
F  f,/f/,F  f
G  g,/?/,G  g
Dj  dj,/d?/,J  j
H  h,/h/,H  h
I  i,/i/,I  i
J  j,/?/,J  j
K  k,/k/,K  k
L  l,/l/,L  l
M  m,/m/,M  m
N  n,/n/,N  n
O  o,/o/ or /?/,O  o
P  p,/p/,P  p
QU  qu,/kw/ or /kv/,QU  qu
R  r,/r/,R  r
S  s,/s/,S  s (also Z z)
SH  sh,/?/,SH  sh
T  t,/t/,T  t
U  u,/u/,U  u
W  w,/w/,W  w (before a vowel) U  u (after a vowel)
V  v,/v/,V  v
X  x,/ks/ or /?z/,X  x
Y  y,/j/,Y  y
Z  z,/z/,Z  z (also S  s)
Ido version: Patro nia  qua esas en la cielo  tua nomo santigesez; tua regno advenez; tua volo facesez quale en la cielo tale anke sur la tero. Donez a ni cadie l'omnidiala pano  e pardonez a ni nia ofensi  quale anke ni pardonas a nia ofensanti  e ne duktez ni aden la tento  ma liberigez ni del malajo.,Novial version: Nusen Patre  kel es in siele  mey vun nome bli sanktifika  mey vun regno veni; mey on fa vun volio kom in siele anke sur tere. Dona a nus disidi li omnidiali pane  e pardona a nus nusen ofensos  kom anke nus pardona a nusen ofensantes  e non dukte nus en tentatione  ma liberisa nus fro malu.
