Dataset name,Brief description,Preprocessing,Instances,Format,Default task,Created (updated),Reference,Creator
FERET (facial recognition technology),11338 images of 1199 individuals in different positions and at different times.,None.,11.338,Images,Classification  face recognition,2003,[6][7],United States Department of Defense
Ryerson Audio-Visual Database of Emotional Speech and Song (RAVDESS),7.356 video and audio recordings of 24 professional actors. 8 emotions each at two intensities.,Files labelled with expression. Perceptual validation ratings provided by 319 raters.,7.356,Video  sound files,Classification  face recognition  voice recognition,2018,[8][9],S.R. Livingstone and F.A. Russo
SCFace,Color images of faces at various angles.,Location of facial features extracted. Coordinates of features given.,4.160,Images  text,Classification  face recognition,2011,[10][11],M. Grgic et al.
Yale Face Database,Faces of 15 individuals in 11 different expressions.,Labels of expressions.,165,Images,Face recognition,1997,[12][13],J. Yang et al.
Cohn-Kanade AU-Coded Expression Database,Large database of images with labels for expressions.,Tracking of certain facial features.,500+ sequences,Images  text,Facial expression analysis,2000,[14][15],T. Kanade et al.
JAFFE Facial Expression Database,213 images of 7 facial expressions (6 basic facial expressions + 1 neutral) posed by 10 Japanese female models.,Images are cropped to the facial region. Includes semantic ratings data on emotion labels.,213,Images  text,Facial expression cognition,1998,[16][17],Lyons  Kamachi  Gyoba
FaceScrub,Images of public figures scrubbed from image searching.,Name and m/f annotation.,107.818,Images  text,Face recognition,2014,[18][19],H. Ng et al.
BioID Face Database,Images of faces with eye positions marked.,Manually set eye positions.,1521,Images  text,Face recognition,2001,[20][21],BioID
Skin Segmentation Dataset,Randomly sampled color values from face images.,B  G  R  values extracted.,245.057,Text,Segmentation  classification,2012,[22][23],R. Bhatt.
Bosphorus,3D Face image database.,34 action units and 6 expressions labeled; 24 facial landmarks labeled.,4652,Images  text,Face recognition  classification,2008,[24][25],A Savran et al.
UOY 3D-Face,neutral face  5 expressions: anger  happiness  sadness  eyes closed  eyebrows raised.,labeling.,5250,Images  text,Face recognition  classification,2004,[26][27],University of York
CASIA,Expressions: Anger  smile  laugh  surprise  closed eyes.,None.,4624,Images  text,Face recognition  classification,2007,[28][29],Institute of Automation  Chinese Academy of Sciences
CASIA,Expressions: Anger Disgust Fear Happiness Sadness Surprise,None.,480,Annotated Visible Spectrum and Near Infrared Video captures at 25 frames per second,Face recognition  classification,2011,[30],Zhao  G. et al.
BU-3DFE,neutral face  and 6 expressions: anger  happiness  sadness  surprise  disgust  fear (4 levels). 3D images extracted.,None.,2500,Images  text,Facial expression recognition  classification,2006,[31],Binghamton University
Face Recognition Grand Challenge Dataset,Up to 22 samples for each subject. Expressions: anger  happiness  sadness  surprise  disgust  puffy. 3D Data.,None.,4007,Images  text,Face recognition  classification,2004,[32][33],National Institute of Standards and Technology
Gavabdb,Up to 61 samples for each subject. Expressions neutral face  smile  frontal accentuated laugh  frontal random gesture. 3D images.,None.,549,Images  text,Face recognition  classification,2008,[34][35],King Juan Carlos University
3D-RMA,Up to 100 subjects  expressions mostly neutral. Several poses as well.,None.,9971,Images  text,Face recognition  classification,2004,[36][37],Royal Military Academy (Belgium)
SoF,112 persons (66 males and 46 females) wear glasses under different illumination conditions.,A set of synthetic filters (blur  occlusions  noise  and posterization ) with different level of difficulty.,42.592 (2.662 original image × 16 synthetic image),Images  Mat file,Gender classification  face detection  face recognition  age estimation  and glasses detection,2017,[38][39],Afifi  M. et al.
IMDB-WIKI,IMDB and Wikipedia face images with gender and age labels.,None,523.051,Images,Gender classification  face detection  face recognition  age estimation,2015,[40],R. Rothe  R. Timofte  L. V. Gool
Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
TV Human Interaction Dataset,Videos from 20 different TV shows for prediction social actions: handshake  high five  hug  kiss and none.,None.,6.766 video clips,video clips,Action prediction,2013,[41],Patron-Perez  A. et al.
Berkeley Multimodal Human Action Database (MHAD),Recordings of a single person performing 12 actions,MoCap pre-processing,660 action samples,8 PhaseSpace Motion Capture  2 Stereo Cameras  4 Quad Cameras  6 accelerometers  4 microphones,Action classification,2013,[42],Ofli  F. et al.
THUMOS Dataset,Large video dataset for action classification.,Actions classified and labeled.,45M frames of video,Video  images  text,Classification  action detection,2013,[43][44],Y. Jiang et al.
MEXAction2,Video dataset for action localization and spotting,Actions classified and labeled.,1000,Video,Action detection,2014,[45],Stoian et al.
Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
Visual Genome,Images and their description,[empty],108.000,images  text,Image captioning,2016,[46],R. Krishna et al.
Berkeley 3-D Object Dataset,849 images taken in 75 different scenes. About 50 different object classes are labeled.,Object bounding boxes and labeling.,849,labeled images  text,Object recognition,2014,[47][48],A. Janoch et al.
Berkeley Segmentation Data Set and Benchmarks 500 (BSDS500),500 natural images  explicitly separated into disjoint train  validation and test subsets + benchmarking code. Based on BSDS300.,Each image segmented by five different subjects on average.,500,Segmented images,Contour detection and hierarchical image segmentation,2011,[49],University of California  Berkeley
Microsoft Common Objects in Context (COCO),complex everyday scenes of common objects in their natural context.,Object highlighting  labeling  and classification into 91 object types.,2.500.000,Labeled images  text,Object recognition,2015,[50][51],T. Lin et al.
SUN Database,Very large scene and object recognition database.,Places and objects are labeled. Objects are segmented.,131.067,Images  text,Object recognition  scene recognition,2014,[52][53],J. Xiao et al.
ImageNet,Labeled object image database  used in the ImageNet Large Scale Visual Recognition Challenge,Labeled objects  bounding boxes  descriptive words  SIFT features,14.197.122,Images  text,Object recognition  scene recognition,2009 (2014),[54][55][56],J. Deng et al.
Open Images,A Large set of images listed as having CC BY 2.0 license with image-level labels and bounding boxes spanning thousands of classes.,Image-level labels  Bounding boxes,9.178.275,Images  text,Classification  Object recognition,2017,[57],[empty]
TV News Channel Commercial Detection Dataset,TV commercials and news broadcasts.,Audio and video features extracted from still images.,129.685,Text,Clustering  classification,2015,[58][59],P. Guha et al.
Statlog (Image Segmentation) Dataset,The instances were drawn randomly from a database of 7 outdoor images and hand-segmented to create a classification for every pixel.,Many features calculated.,2310,Text,Classification,1990,[60],University of Massachusetts
Caltech 101,Pictures of objects.,Detailed object outlines marked.,9146,Images,Classification  object recognition.,2003,[61][62],F. Li et al.
