Discontinued
[empty]
[added]
[empty],Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
Ability Photopaint,Graphics editor with some advanced features,Ability Software,[empty],4,[empty],[empty],[added]
ACDSee,[empty],[empty],[empty],19,[empty],[empty],[added]
ACDSee Pro,[empty],[empty],[empty],9,[empty],[empty],[added]
ACDSee Ultimate,[empty],[empty],[empty],9,[empty],[empty],[added]
Acorn Image Editor,Image editor and graphics creator for macOS,Flying Meat Inc.,[empty],5.6.2,[empty],[empty],[added]
Adobe Fireworks*,Alternative to Photoshop targeted at web designers  discontinued after CS6,Macromedia,[empty],CS6 / 12.0,[empty],Discontinued,[empty]
Adobe Photoshop,Professional image editor and graphics creation tool,Adobe Systems,[empty],CC 2019 / 20.0.4.260,[empty],[empty],[added]
Adobe Photoshop Elements,Raster graphics editor for entry-level photographers  image editors and hobbyists,[empty],[empty],14.0,[empty],[empty],[added]
Adobe Photoshop Lightroom,Photo editor,Adobe Systems,[empty],8.2,[empty],[empty],[added]
Affinity Photo,Professional image editor for Windows  macOS and iOS,Serif Europe,[empty],1.6.7,[empty],[empty],[added]
Autodesk SketchBook Pro,Paint and drawing toolset for use with digitized pen tablets & tablet computers,Autodesk,[empty],2016 (4.1),[empty],[empty],[added]
Artipic,Image editor for Windows and macOS,Artipic AB,[empty],2.6,October 30  2017,[empty],[added]
ArtRage,Digital paint program for tablet computers,Ambient Design,[empty],4.5.1,[empty],[empty],[added]
Artweaver,Emulates physical painting experience on a computer,Boris Eyrich,[empty],3.0,[empty],[empty],[added]
Bibble*,Photo editor and organizer with camera raw file support,Bibble Labs,[empty],5.2,[empty],[empty],[added]
Bloom Image Editor,Procedural node-based image editor,Sad Cat Software,[empty],1.0.181,[empty],[empty],[added]
Brush Strokes Image Editor,Image editor like Windows Paint,Paul Bird,[empty],2.0,[empty],[empty],[added]
Capture One,Professional raw converter and image editor,Phase One,[empty],12,[empty],[empty],[added]
Chasys Draw IES,Image Editor with layers  animation  icon edit  super-res  batch and camera raw,John Paul Chacha,[empty],4.56.01,November 12  2018,[empty],[added]
CinePaint,Moving picture  photo and graphics editor,Robin Rowe,[empty],2011 (1.0),[empty],[empty],[added]
CodedColor PhotoStudio Pro,An bitmap graphics editor and image organizer for Windows pc,1STEIN Corp.,[empty],6.2,[empty],[empty],[added]
Corel PaintShop Pro,Advanced image editor and graphics creator,Jasc Software,[empty],X7,[empty],[empty],[added]
Corel Painter,Made to create natural-looking artistic images,Mark Zimmer  Tom Hedges  John Derry,[empty],15.1.0.740,[empty],[empty],[added]
Corel PHOTO-PAINT,Professional image editor and graphics creator with advanced features,Corel Corporation,[empty],X7/17,[empty],[empty],[added]
darktable,Photography workflow application and raw developer,Johannes Hanika,[empty],2.0,[empty],[empty],[added]
Deluxe Paint*,Discontinued basic editor,Dan Silva,[empty],5,[empty],[empty],[added]
Deneba Canvas,Graphics editor and creator supporting both raster graphics and vector graphics.It also work on GIS data.,Jorge Miranda  Joaquin de Soto  Manny Menendez,[empty],14,[empty],[empty],[added]
DigiKam,Free photo organizer and image editor,Renchi Raju  Gilles Caulier,[empty],4.10.0,[empty],[empty],[added]
Digital Photo Professional,Photo organizer and image editor from Canon,Canon Inc.,[empty],4.2.10,[empty],[empty],[added]
Erdas Imagine,Advanced remote sensing and GIS ability; handles multispectral images,ERDAS  Inc.,[empty],2016 (16),[empty],[empty],[added]
Fatpaint,Full featured web-based graphic design and photo editing application,Mersica Inc.,[empty],1.99.55,[empty],[empty],[added]
Fotografix,Freeware  portable image editor,L. Madhavan,[empty],1.5,[empty],[empty],[added]
F-Spot,Image viewer and organizer for GNOME,Ettore Perazzoli,[empty],0.8.2,[empty],[empty],[added]
G'MIC,Free command line software for 2D or 3D image processing and visualization,David Tschumperlé,[empty],1.7.9,[empty],[empty],[added]
GIMP,Free image editor and graphics creator,Spencer Kimball  Peter Mattis,[empty],2.10.12,November 8  2018,</ref>}},[added]
GimPhoto,Modification of the free and open-source graphics program GNU Image Manipulation Program (GIMP)  with the intent to be a free alternative to Adobe Photoshop.,Ek Kian,[empty],1.4.3,[empty],[empty],[added]
GIMPshop,GIMP with a GUI similar to Adobe Photoshop,Scott Moschella,[empty],2.2.11,[empty],[empty],[added]
GNU Paint,Free and open-source raster graphics editor,Andy Tai,[empty],0.3.3,[empty],[empty],[added]
GrafX2,GrafX2 with a GUI similar to Deluxe Paint,Sunset Design (Guillaume Dorme  Karl Maritaud),[empty],2.5,[empty],[empty],[added]
GraphicConverter,Image viewer  converter  organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins,Thorsten Lemke,[empty],10,[empty],[empty],[added]
GraphicsMagick,Commandline image converter and editor,GraphicsMagick Group,[empty],1.3.21,[empty],[empty],[added]
gThumb,Image viewer and organizer for the GNOME desktop environment,Paolo Bacchilega,[empty],3.4.0,[empty],[empty],[added]
