Spanish,Portuguese,English
cola (< Lat. ),fila; bicha; cauda; rabo; linha (< Fr. file; < Lat. ; < Lat. ; < Lat. ; < Lat. ),queue  file  tail
vaso (< Lat. ),copo (< Lat. ),glass  cup
copo (< Lat. ),floco (< Lat. ),flake
competencia (< Lat. ),concorrência  competição (< Lat. ),competition
despido (< Lat. ),demissão (< Lat. ),dismissal  firing
oso (< Lat. ),urso (< Lat. ),bear
pez (< Lat. ),peixe (< Lat. < Indo-European ),fish
polvo (< Lat. ),pó (< Lat. ),dust
tienda (< Lat. ),loja; negócio; butique; estabelecimento; depósito (< Fr. loge < Frankish ; < Lat. ; < Fr. boutique < Lat. ; < Lat. ; < Lat. ),shop  business  depot
ganancia (< Gothic ),ganho  lucro  interesse  rendimento  proveito  vencimento  acréscimo (< Frankish ; < Lat. ; < Lat. ; < Lat. + ; < Lat. ; < Lat. ; < Lat. + suffix -imo),profit  gain  interest
inversión (< Lat. ),investimento (< Lat. ),investment
embarazada (< Port. embaraçada),grávida (< Lat. + ),pregnant
estafa (< Ital. staffa),calote  fraude  burla (< Fr. culotte; < Lat.; < probably Lat. ),swindle  fraud  trickery
exquisito (< Lat. ),refinado; esmerado (< Lat. ; < Lat. ),exquisite
molestia (< Lat. ),incómodo  inconveniência  maçada (< Lat. ; < Lat. ; < Lat. + Port. -ada),inconvenience  disturbance
servicios (< Lat. ),lavabo  lavatório  toilette  toalete  WC  sanitário (< Lat. ; < Lat. ; < Fr. toilette; < Eng. water closet; < Lat. ),toilet  WC  lavatory
perro (probably < onomatopoeic perr),cão (< Lat. )  cachorro (< Lat. + Basque -orro),dog
berro (< Celt. ),agrião (< Gr. ),watercress
aceite (< Ar. az-zayt),óleo (< Lat. ),oil
oficina (< Lat. < < + ),escritório  gabinete  atelier  agência  cartório  bureau/birô  departamento  workshop  oficina de reparação automóvel  garagem auto mecânica (< Lat. ; < Fr. cabinet; < Fr. atelier; < Ital. agenzia; < Lat. + suffix ; < Fr. atelier; < Lat. ; < Lat. + Gr ; < Eng. workshop; < Fr. garage + Gr. α�?το + Lat. ),office  workshop
firma (< Lat. ),assinatura (< Lat. ),signature
presunto (< Lat. ),presum�vel  suspeito  provável (< Lat. ; < Lat. ; < Lat. ),presumed  suspect
risco (< Lat. ),falésia (< Fr. falaise),cliff
topo (< Lat. ),toupeira (< Lat. + Port. -eira),mole  moleskin
