Program,Developer,License,Supported file systems,Supported platforms,GUI,CLI,Script,Scheduler,Boot time,Auto defrag when idle,Stable release
Auslogics Disk Defrag,Auslogics,[empty],FAT16  FAT32  NTFS,Windows XP and later,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
AVG PC TuneUp,AVG Technologies,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2015 (v15.0.1001.238) (November 30  2014)
Contig,Microsoft,[empty],NTFS,Windows XP and later; Windows Server 2003 and later,<ref name="Russinovich2008"></ref>,[empty],[empty],[empty],[empty],[empty],1.8 (July 4  2016)<ref name="Russinovich2008" />
Defraggler,Piriform,[empty],FAT32  NTFS  exFAT  ReFS<ref></ref>,Windows XP and later,[empty],[empty],[empty],</ref>}},[empty],[empty],[empty]
Disk Defragmenter,Microsoft,[empty],FAT16  FAT32  NTFS  ReFS,Windows NT 4 and later; Windows 95 and later,[empty],[empty],[empty],[empty],[empty],[empty],Same as Windows
Diskeeper,Condusiv Technologies,[empty],FAT16  FAT32  NTFS,Windows XP and later,<ref name="Dragan2005"></ref>,<ref name="Condusiv Technologies 1"></ref>,<ref name="Condusiv Technologies 2"></ref>,[empty],<ref name="Condusiv Technologies 3"></ref>,[empty],[empty]
JkDefrag,Jeroen Kessels,[empty],FAT & NTFS,Windows 2000  Windows XP  Windows Vista,[empty],[empty],[empty],[empty],[empty],[empty],3.36.0.2 / August 31  2008
O&O Defrag,O&O Software,[empty],FAT16  FAT32  NTFS,Windows 2000  XP  Vista  Server 2008  7  and 8,[empty],[empty],[empty],[empty],[empty],[empty],{{Latest stable software release/O&O Defrag}}
PageDefrag,Microsoft,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PerfectDisk 14,Raxco,[empty],FAT16  FAT32  exFAT  NTFS  ReFS* and CSVFShttps://raxco.my.salesforce.com/_ui/selfservice/pkb/PublicKnowledgeSolution/d?orgId=00D30000001FVTK&id=50130000000irUt&retURL=%2Fsol%2Fpublic%2Fsolutionbrowser.jsp%3Fsearch%3Dexfat%26cid%3D000000000000000%26orgId%3D00D30000001FVTK%26t%3D4&ps=1,Windows XP SP3 or higher (x86  x64) Windows 10  Windows Server 2003 SP1 Windows Server 2019https://raxco.my.salesforce.com/_ui/selfservice/pkb/PublicKnowledgeSolution/d?orgId=00D30000001FVTK&id=50130000000irUt&retURL=%2Fsol%2Fpublic%2Fsolutionbrowser.jsp%3Fsearch%3Dexfat%26cid%3D000000000000000%26orgId%3D00D30000001FVTK%26t%3D4&ps=1,[empty],(Enterprise Console Edition Only),[empty],[empty],[empty],[empty],PerfectDisk 14 Build 894(May 2  2019)<ref></ref>
UltimateDefrag,DiskTrix,<ref></ref>,FAT32  NTFS,Windows XP and later,[empty],[empty],[empty],[empty],[empty],[empty],6.0.20.0 (29 July 2019)
UltraDefrag,Dmitri Arkhangelski  Justin Dearing  Sayem Chaklader  Stefan Pendl,(8.0) / GNU GPL (7.1.2),FAT12  FAT16  FAT32  NTFS  exFAT<ref name="sourceforge"></ref>,Windows NT 4.0 and later,[empty],[empty],<ref>UltraDefrag documentation and UltraDefrag 5.0.4 handbook</ref>,[empty],[empty],[empty],, Open source version discontinued<ref>SourceForge comment citation</ref>
Vopt,GoldenBow (or DataTuna)<ref>which makes available Howard Barry Emerson's VOPT on their own site  at </ref>,[empty],FAT32  NTFS,Windows 2000 and later,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Program,Developer,License,Supported file systems,Supported platforms,GUI,CLI,Script,Scheduler,Boot time,Auto defrag when idle,Stable release
